order_id,customer_id,product_id,quantity,order_date,updated_at,order_status
O00000001,108201.0,P00457,1,2026-09-01,2026-09-01 13:59:00,SHIPPED
O00000002,109483.0,P00068,1,2026-09-02,2026-09-02 00:31:00,DELIVERED
O00000003,100491.0,P00839,4,2026-09-11,2026-09-11 11:07:00,SHIPPED
O00000004,107456.0,P00541,2,2026-08-03,2026-08-03 15:02:00,CANCELLED
O00000005,108699.0,P00749,3,2026-09-11,2026-09-11 09:28:00,CANCELLED
O00000006,104167.0,P00530,3,2026-08-13,2026-08-13 00:14:00,DELIVERED
O00000007,105384.0,P00676,3,2026-08-14,2026-08-14 13:59:00,PLACED
O00000008,102119.0,P00491,2,2026-08-19,2026-08-19 08:39:00,CANCELLED
O00000009,103099.0,P00121,4,2026-08-04,2026-08-04 19:00:00,CANCELLED
O00000010,106390.0,P00823,3,2026-09-02,2026-09-02 07:50:00,CONFIRMED
O00000011,108508.0,P00334,5,2026-08-06,2026-08-06 13:31:00,CANCELLED
O00000012,100683.0,P00565,5,2026-08-18,2026-08-18 08:17:00,CANCELLED
O00000013,103533.0,P00025,2,2026-08-21,2026-08-21 23:37:00,CONFIRMED
O00000014,106091.0,P00447,1,2026-09-10,2026-09-10 01:29:00,SHIPPED
O00000015,100887.0,P00128,3,2026-08-10,2026-08-10 13:39:00,CONFIRMED
O00000016,102136.0,P00622,5,2026-08-14,2026-08-14 20:02:00,CANCELLED
O00000017,103588.0,P00022,5,2026-08-26,2026-08-26 12:12:00,CONFIRMED
O00000018,106547.0,P00362,3,2026-08-16,2026-08-16 11:54:00,PLACED
O00000019,109786.0,P00659,5,2026-08-16,2026-08-16 00:28:00,PLACED
O00000020,100986.0,P00824,2,2026-08-23,2026-08-23 08:51:00,DELIVERED
O00000021,101925.0,P00150,5,2026-08-14,2026-08-14 05:01:00,SHIPPED
O00000022,105348.0,P00005,1,2026-08-14,2026-08-14 02:35:00,SHIPPED
O00000023,108712.0,P00144,1,2026-08-09,2026-08-09 06:05:00,DELIVERED
O00000024,100909.0,P00309,5,2026-09-03,2026-09-03 04:51:00,PLACED
