payment_id,order_id,amount,payment_mode,payment_ts,payment_status
PAY00000001,O00043550,88181.97,UPI,2026-09-06 06:48:00,SUCCESS
PAY00000002,O00036970,60684.07,UPI,2026-08-30 17:27:00,SUCCESS
PAY00000003,O00015883,38644.51,UPI,2026-08-29 20:22:00,SUCCESS
PAY00000004,O00035733,81502.22,NETBANKING,2026-08-07 14:14:00,SUCCESS
PAY00000005,O00014479,96097.37,COD,2026-08-25 20:22:00,SUCCESS
PAY00000006,O00047461,48328.75,CARD,2026-08-11 19:58:00,SUCCESS
PAY00000007,O00020081,57740.38,UPI,2026-09-07 12:10:00,SUCCESS
PAY00000008,O00018739,36914.0,COD,2026-09-06 16:54:00,SUCCESS
PAY00000009,O00000275,27795.19,WALLET,2026-08-15 04:55:00,SUCCESS
PAY00000010,O00016294,99821.88,WALLET,2026-08-30 01:52:00,SUCCESS
PAY00000011,O00020179,101013.06,CARD,2026-08-15 10:12:00,SUCCESS
PAY00000012,O00025610,100774.69,COD,2026-09-07 13:29:00,SUCCESS
PAY00000013,O00019591,73540.01,UPI,2026-08-26 14:19:00,SUCCESS
PAY00000014,O00017624,85241.09,WALLET,2026-08-14 17:48:00,SUCCESS
PAY00000015,O00016075,34455.07,UPI,2026-08-14 12:02:00,SUCCESS
PAY00000016,O00012118,99253.8,WALLET,2026-09-10 12:32:00,SUCCESS
PAY00000017,O00037097,44578.13,COD,2026-09-02 14:31:00,SUCCESS
PAY00000018,O00021350,59610.57,WALLET,2026-09-01 16:13:00,SUCCESS
PAY00000019,O00006378,2070.37,NETBANKING,2026-08-23 03:54:00,SUCCESS
PAY00000020,O00012617,102567.0,WALLET,2026-09-08 18:51:00,SUCCESS
PAY00000021,O00029605,89791.57,WALLET,2026-08-07 17:14:00,SUCCESS
PAY00000022,O00026793,70272.13,NETBANKING,2026-08-14 02:49:00,SUCCESS
PAY00000023,O00039247,42062.11,WALLET,2026-08-25 19:12:00,SUCCESS
PAY00000024,O00030177,5735.14,NETBANKING,2026-08-12 12:23:00,SUCCESS
PAY00000025,O00013775,86060.04,WALLET,2026-08-18 02:54:00,SUCCESS
PAY00000026,O00041878,77107.33,NETBANKING,2026-09-04 04:50:00,SUCCESS
PAY00000027,O00000795,70681.25,UPI,2026-08-13 00:46:00,SUCCESS
PAY00000028,O00020050,68847.28,NETBANKING,2026-08-01 04:17:00,SUCCESS
PAY00000029,O00038931,4665.49,NETBANKING,2026-09-06 14:45:00,SUCCESS
PAY00000030,O00015746,95062.39,NETBANKING,2026-08-03 18:56:00,SUCCESS
PAY00000031,O00028592,18631.29,WALLET,2026-09-07 03:10:00,SUCCESS
PAY00000032,O00018310,17983.48,CARD,2026-08-05 07:43:00,SUCCESS
PAY00000033,O00042397,111036.06,UPI,2026-08-29 06:29:00,SUCCESS
PAY00000034,O00003967,78025.44,CARD,2026-08-12 16:07:00,SUCCESS
PAY00000035,O00033763,98258.25,UPI,2026-08-18 14:29:00,SUCCESS
PAY00000036,O00040679,2316.96,COD,2026-08-26 15:43:00,SUCCESS
PAY00000037,O00015035,101298.06,NETBANKING,2026-09-01 17:16:00,SUCCESS
PAY00000038,O00025181,113909.07,CARD,2026-08-13 08:08:00,SUCCESS
PAY00000039,O00038722,90803.77,NETBANKING,2026-09-02 23:37:00,SUCCESS
PAY00000040,O00030970,72706.41,COD,2026-08-28 18:04:00,SUCCESS
PAY00000041,O00009029,36374.02,WALLET,2026-08-04 14:59:00,SUCCESS
PAY00000042,O00003080,114829.03,UPI,2026-08-28 19:49:00,SUCCESS
PAY00000043,O00012824,50976.78,CARD,2026-08-05 12:32:00,SUCCESS
PAY00000044,O00006908,37417.69,COD,2026-08-09 05:58:00,SUCCESS
PAY00000045,O00049605,23662.87,WALLET,2026-08-09 00:03:00,SUCCESS
PAY00000046,O00041475,10450.28,UPI,2026-08-01 12:56:00,SUCCESS
PAY00000047,O00032465,64078.54,COD,2026-08-05 15:09:00,SUCCESS
PAY00000048,O00033538,5605.37,COD,2026-08-14 19:36:00,SUCCESS
PAY00000049,O00043467,87034.68,CARD,2026-09-06 17:38:00,SUCCESS
PAY00000050,O00047502,6807.24,NETBANKING,2026-08-21 05:47:00,SUCCESS
PAY00000051,O00037166,47505.18,WALLET,2026-08-26 03:21:00,SUCCESS
PAY00000052,O00037120,74102.81,NETBANKING,2026-09-11 13:32:00,SUCCESS
PAY00000053,O00042630,88069.22,WALLET,2026-09-11 21:20:00,SUCCESS
PAY00000054,O00020371,40865.74,CARD,2026-08-22 22:41:00,SUCCESS
PAY00000055,O00022500,92508.34,WALLET,2026-08-22 01:38:00,SUCCESS
PAY00000056,O00017711,93436.64,WALLET,2026-09-02 07:30:00,SUCCESS
PAY00000057,O00008888,112360.13,CARD,2026-08-21 01:42:00,SUCCESS
PAY00000058,O00019904,71340.22,WALLET,2026-08-05 19:45:00,SUCCESS
PAY00000059,O00007192,2966.21,NETBANKING,2026-08-24 07:59:00,SUCCESS
PAY00000060,O00034194,117125.01,CARD,2026-09-07 20:42:00,SUCCESS
PAY00000061,O00024115,82478.09,WALLET,2026-08-31 21:25:00,SUCCESS
PAY00000062,O00027819,100639.64,COD,2026-08-31 11:23:00,SUCCESS
PAY00000063,O00048170,72950.57,UPI,2026-08-09 22:28:00,SUCCESS
PAY00000064,O00018754,107219.28,NETBANKING,2026-08-06 12:54:00,SUCCESS
PAY00000065,O00015092,104159.63,NETBANKING,2026-09-05 21:42:00,SUCCESS
PAY00000066,O00027064,86190.82,COD,2026-08-30 20:42:00,SUCCESS
PAY00000067,O00012581,1156.12,NETBANKING,2026-08-03 12:44:00,SUCCESS
PAY00000068,O00046569,52127.82,NETBANKING,2026-09-06 13:50:00,SUCCESS
PAY00000069,O00034595,14952.5,WALLET,2026-08-04 04:59:00,SUCCESS
PAY00000070,O00049015,111994.6,NETBANKING,2026-09-03 16:12:00,SUCCESS
PAY00000071,O00006113,15305.62,CARD,2026-08-27 16:23:00,SUCCESS
PAY00000072,O00013848,17947.57,CARD,2026-09-05 10:59:00,SUCCESS
PAY00000073,O00042692,4602.91,COD,2026-08-07 11:56:00,SUCCESS
PAY00000074,O00042733,69208.69,NETBANKING,2026-08-16 00:58:00,SUCCESS
PAY00000075,O00017253,95237.93,WALLET,2026-09-04 18:05:00,SUCCESS
PAY00000076,O00011529,86298.72,COD,2026-08-03 07:54:00,SUCCESS
PAY00000077,O00018333,14317.6,NETBANKING,2026-08-05 10:57:00,SUCCESS
PAY00000078,O00037355,103073.39,UPI,2026-08-13 05:01:00,SUCCESS
PAY00000079,O00033356,58105.75,CARD,2026-08-30 23:37:00,SUCCESS
PAY00000080,O00003871,87061.47,UPI,2026-08-28 01:30:00,SUCCESS
PAY00000081,O00012996,111962.95,NETBANKING,2026-09-11 22:29:00,SUCCESS
PAY00000082,O00005042,52180.63,WALLET,2026-08-01 00:25:00,SUCCESS
PAY00000083,O00037022,86231.94,COD,2026-08-07 22:16:00,SUCCESS
PAY00000084,O00012938,49394.8,NETBANKING,2026-08-17 16:32:00,SUCCESS
PAY00000085,O00045661,13201.13,CARD,2026-08-28 02:07:00,SUCCESS
PAY00000086,O00031059,66331.62,COD,2026-08-18 15:59:00,SUCCESS
PAY00000087,O00011867,72469.53,WALLET,2026-08-02 02:04:00,SUCCESS
PAY00000088,O00048059,69560.26,COD,2026-08-27 16:01:00,SUCCESS
PAY00000089,O00021842,97656.42,NETBANKING,2026-08-21 12:54:00,SUCCESS
PAY00000090,O00017869,3366.43,COD,2026-09-01 16:51:00,SUCCESS
PAY00000091,O00009895,71576.92,NETBANKING,2026-08-06 05:28:00,SUCCESS
PAY00000092,O00018263,74408.58,NETBANKING,2026-08-19 17:42:00,SUCCESS
PAY00000093,O00003880,20787.72,COD,2026-09-01 20:58:00,SUCCESS
PAY00000094,O00033702,26897.28,CARD,2026-08-30 11:55:00,SUCCESS
PAY00000095,O00033837,99676.75,COD,2026-08-16 03:50:00,SUCCESS
PAY00000096,O00029023,84789.72,WALLET,2026-08-10 20:53:00,SUCCESS
PAY00000097,O00007887,22203.34,NETBANKING,2026-08-29 14:11:00,SUCCESS
PAY00000098,O00028933,107707.33,CARD,2026-09-02 18:57:00,SUCCESS
PAY00000099,O00010371,2185.87,COD,2026-08-02 23:32:00,SUCCESS
PAY00000100,O00039706,95091.43,UPI,2026-08-14 05:43:00,SUCCESS
PAY00000101,O00012691,47393.34,COD,2026-09-08 00:25:00,SUCCESS
PAY00000102,O00038391,98051.33,CARD,2026-08-16 14:29:00,SUCCESS
PAY00000103,O00040485,115926.85,CARD,2026-09-02 02:34:00,SUCCESS
PAY00000104,O00036219,118131.61,WALLET,2026-09-07 23:36:00,SUCCESS
PAY00000105,O00002205,4395.35,NETBANKING,2026-08-25 16:29:00,SUCCESS
PAY00000106,O00006787,87405.38,CARD,2026-09-11 06:49:00,SUCCESS
PAY00000107,O00012585,70346.16,NETBANKING,2026-08-25 20:56:00,SUCCESS
PAY00000108,O00016116,110091.14,UPI,2026-08-12 18:19:00,SUCCESS
PAY00000109,O00008846,96322.68,NETBANKING,2026-08-13 22:34:00,SUCCESS
PAY00000110,O00009416,20784.69,COD,2026-08-09 17:09:00,SUCCESS
PAY00000111,O00034177,67082.96,COD,2026-08-16 23:11:00,SUCCESS
PAY00000112,O00025399,6346.36,NETBANKING,2026-08-26 01:16:00,SUCCESS
