product_id,product_name,category,price,currency,launch_date,updated_at
P00001,Fashion_Product_0001,Fashion,23107.66,INR,2025-09-24,2026-09-10
P00002,Sports_Product_0002,Sports,28425.76,INR,2025-06-19,2026-09-03
P00003,Home_Product_0003,Home,9330.95,INR,2026-03-01,2026-09-05
P00004,Home_Product_0004,Home,15133.11,INR,2026-06-17,2026-09-05
P00005,Fashion_Product_0005,Fashion,40090.6,INR,2026-03-16,2026-09-09
P00006,Beauty_Product_0006,Beauty,25413.05,INR,2025-04-29,2026-09-02
P00007,Home_Product_0007,Home,39178.37,INR,2025-08-16,2026-09-04
P00008,Electronics_Product_0008,Electronics,21360.68,INR,2025-01-25,2026-09-10
P00009,Grocery_Product_0009,Grocery,26033.89,INR,2025-11-25,2026-09-09
P00010,Beauty_Product_0010,Beauty,23996.25,INR,2025-12-08,2026-09-06
P00011,Grocery_Product_0011,Grocery,17450.23,INR,2025-02-27,2026-09-11
P00012,Beauty_Product_0012,Beauty,34959.16,INR,2025-06-20,2026-09-08
P00013,Sports_Product_0013,Sports,23996.57,INR,2025-02-23,2026-09-03
P00014,Home_Product_0014,Home,28897.65,INR,2025-06-05,2026-09-01
P00015,Grocery_Product_0015,Grocery,36512.8,INR,2026-02-04,2026-09-04
P00016,Beauty_Product_0016,Beauty,8497.11,INR,2026-02-27,2026-09-03
P00017,Grocery_Product_0017,Grocery,48333.63,INR,2026-02-09,2026-09-01
P00018,Fashion_Product_0018,Fashion,7372.13,INR,2025-11-28,2026-09-09
P00019,Home_Product_0019,Home,3714.77,INR,2025-01-07,2026-09-03
P00020,Sports_Product_0020,Sports,16040.8,INR,2026-08-05,2026-09-08
P00021,Beauty_Product_0021,Beauty,38500.14,INR,2026-04-12,2026-09-10
P00022,Fashion_Product_0022,Fashion,30121.05,INR,2026-01-03,2026-09-08
P00023,Sports_Product_0023,Sports,15859.77,INR,2025-12-21,2026-09-02
P00024,Sports_Product_0024,Sports,48086.36,INR,2025-05-30,2026-09-05
P00025,Grocery_Product_0025,Grocery,22625.81,INR,2025-03-29,2026-09-02
P00026,Electronics_Product_0026,Electronics,24025.27,INR,2025-08-10,2026-09-07
P00027,Beauty_Product_0027,Beauty,690.29,INR,2026-06-25,2026-09-07
P00028,Fashion_Product_0028,Fashion,48067.91,INR,2026-02-07,2026-09-11
P00029,Beauty_Product_0029,Beauty,43154.98,INR,2025-04-17,2026-09-02
P00030,Fashion_Product_0030,Fashion,18300.92,INR,2026-07-23,2026-09-05
P00031,Grocery_Product_0031,Grocery,42522.1,INR,2025-07-30,2026-09-04
P00032,Electronics_Product_0032,Electronics,39843.49,INR,2026-07-11,2026-09-01
P00033,Home_Product_0033,Home,19955.35,INR,2025-09-13,2026-09-01
P00034,Grocery_Product_0034,Grocery,47390.88,INR,2025-05-30,2026-09-10
P00035,Fashion_Product_0035,Fashion,31450.1,INR,2026-07-27,2026-09-03
P00036,Sports_Product_0036,Sports,23369.25,INR,2025-06-25,2026-09-02
P00037,Electronics_Product_0037,Electronics,44409.0,INR,2026-06-19,2026-09-09
P00038,Fashion_Product_0038,Fashion,4251.9,INR,2026-03-28,2026-09-04
P00039,Grocery_Product_0039,Grocery,21394.28,INR,2025-12-28,2026-09-05
P00040,Sports_Product_0040,Sports,17510.89,INR,2025-07-08,2026-09-01
P00041,Beauty_Product_0041,Beauty,6772.34,INR,2025-03-07,2026-09-10
P00042,Beauty_Product_0042,Beauty,42262.19,INR,2026-07-18,2026-09-05
P00043,Fashion_Product_0043,Fashion,27283.02,INR,2025-09-17,2026-09-11
P00044,Electronics_Product_0044,Electronics,21897.99,INR,2025-06-14,2026-09-08
P00045,Sports_Product_0045,Sports,34938.53,INR,2025-08-03,2026-09-11
P00046,Beauty_Product_0046,Beauty,16378.73,INR,2025-06-10,2026-09-10
P00047,Grocery_Product_0047,Grocery,36559.05,INR,2025-12-28,2026-09-06
P00048,Electronics_Product_0048,Electronics,34252.12,INR,2025-01-20,2026-09-01
P00049,Home_Product_0049,Home,44260.59,INR,2025-02-03,2026-09-09
P00050,Electronics_Product_0050,Electronics,30959.33,INR,2026-07-05,2026-09-05
P00051,Grocery_Product_0051,Grocery,6531.01,INR,2026-03-16,2026-09-03
P00052,Fashion_Product_0052,Fashion,34534.08,INR,2025-01-14,2026-09-04
P00053,Beauty_Product_0053,Beauty,634.69,INR,2026-04-08,2026-09-03
P00054,Fashion_Product_0054,Fashion,12106.29,INR,2025-02-09,2026-09-03
P00055,Grocery_Product_0055,Grocery,32743.27,INR,2025-08-25,2026-09-01
P00056,Grocery_Product_0056,Grocery,45229.29,INR,2025-10-06,2026-09-11
P00057,Fashion_Product_0057,Fashion,43869.05,INR,2025-10-09,2026-09-04
P00058,Beauty_Product_0058,Beauty,16610.61,INR,2025-07-29,2026-09-10
P00059,Electronics_Product_0059,Electronics,49031.49,INR,2026-08-10,2026-09-03
P00060,Sports_Product_0060,Sports,1602.78,INR,2025-04-25,2026-09-07
P00061,Grocery_Product_0061,Grocery,19879.12,INR,2025-05-07,2026-09-07
P00062,Beauty_Product_0062,Beauty,30648.59,INR,2026-07-26,2026-09-08
P00063,Grocery_Product_0063,Grocery,33834.46,INR,2025-01-10,2026-09-04
P00064,Fashion_Product_0064,Fashion,42919.59,INR,2025-09-18,2026-09-06
P00065,Home_Product_0065,Home,45502.09,INR,2025-03-07,2026-09-01
P00066,Beauty_Product_0066,Beauty,5068.55,INR,2026-02-05,2026-09-05
P00067,Sports_Product_0067,Sports,23267.96,INR,2025-02-01,2026-09-11
P00068,Sports_Product_0068,Sports,14439.98,INR,2025-12-06,2026-09-09
P00069,Electronics_Product_0069,Electronics,5081.63,INR,2025-04-08,2026-09-08
P00070,Beauty_Product_0070,Beauty,15035.25,INR,2026-08-18,2026-09-07
P00071,Grocery_Product_0071,Grocery,8579.82,INR,2025-01-04,2026-09-10
P00072,Fashion_Product_0072,Fashion,14855.34,INR,2025-05-02,2026-09-06
P00073,Electronics_Product_0073,Electronics,15959.77,INR,2025-01-19,2026-09-11
P00074,Sports_Product_0074,Sports,48218.75,INR,2026-02-22,2026-09-10
P00075,Sports_Product_0075,Sports,48912.42,INR,2026-03-02,2026-09-02
P00076,Grocery_Product_0076,Grocery,35969.0,INR,2025-07-19,2026-09-02
P00077,Home_Product_0077,Home,41838.22,INR,2025-12-06,2026-09-06
P00078,Fashion_Product_0078,Fashion,34935.73,INR,2025-06-16,2026-09-03
P00079,Grocery_Product_0079,Grocery,39678.85,INR,2026-07-20,2026-09-01
P00080,Home_Product_0080,Home,25209.4,INR,2026-07-16,2026-09-04
P00081,Beauty_Product_0081,Beauty,32430.29,INR,2025-11-08,2026-09-04
P00082,Home_Product_0082,Home,46068.57,INR,2025-02-28,2026-09-05
P00083,Beauty_Product_0083,Beauty,49752.42,INR,2025-06-28,2026-09-06
P00084,Grocery_Product_0084,Grocery,43530.27,INR,2025-07-23,2026-09-10
P00085,Home_Product_0085,Home,2430.47,INR,2025-04-20,2026-09-02
P00086,Electronics_Product_0086,Electronics,45739.31,INR,2025-06-12,2026-09-06
